story_stage,detector_label,detector_name,operating_point,precision,recall,f1,false_positive_rate,source_file,source_experiment,generated_at
Synthetic benchmark evaluation,Rule,rule_baseline_v2_hardened_final,threshold=2.8,0.9827895981087471,0.826923076923077,0.8977205168364355,0.0029629629629629632,results/tables/report_ready/detector_comparison_table.csv,supervised_ml_hardened_grid,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,Statistical,statistical_zscore_baseline_v1,benign_score_quantile=0.99,0.6565479454609889,0.5884615384615384,0.6172194864500732,0.06296296296296297,results/tables/report_ready/detector_comparison_table.csv,supervised_ml_hardened_grid,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,isolation_forest_v1 (contamination=0.03),isolation_forest_v1,contamination=0.03,0.34281176545327485,0.28076923076923077,0.3028823497177927,0.10888888888888888,results/tables/report_ready/detector_comparison_table.csv,supervised_ml_hardened_grid,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,LOF,local_outlier_factor_v1,contamination=0.03,0.7706333585952847,0.6461538461538462,0.6806339712918661,0.050370370370370364,results/tables/report_ready/detector_comparison_table.csv,supervised_ml_hardened_grid,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,LR,logistic_regression_v1,threshold=0.5;features=29,0.915454300085879,0.926923076923077,0.9205249898190369,0.017037037037037038,results/tables/report_ready/detector_comparison_table.csv,supervised_ml_hardened_grid,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,RF,random_forest_v1,threshold=0.5;features=29,0.9960000000000001,0.9307692307692307,0.9620901826076965,0.0007407407407407408,results/tables/report_ready/detector_comparison_table.csv,supervised_ml_hardened_grid,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,RF @ 0.3,random_forest_v1,threshold=0.3;features=full,0.9610894941634242,0.95,0.9555125725338491,0.007407407407407408,results/tables/report_ready/detector_comparison_table.csv,supervised_threshold_sweep,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,RF @ 0.6,random_forest_v1,threshold=0.6;features=full,0.9958677685950413,0.926923076923077,0.9601593625498008,0.0007407407407407407,results/tables/report_ready/detector_comparison_table.csv,supervised_threshold_sweep,2026-04-22T20:00:29.141854+00:00
Synthetic benchmark evaluation,RF timing+size @ 0.4,random_forest_v1,threshold=0.4;features=timing_size,0.9299610894941635,0.9192307692307692,0.9245647969052223,0.013333333333333334,results/tables/report_ready/detector_comparison_table.csv,supervised_threshold_sweep,2026-04-22T20:00:29.141854+00:00
