feature_path,policy_name,detector_name,operating_point,compatibility_status,precision,recall,f1,false_positive_rate,tp,fp,tn,fn,story_stage,source_experiment,source_file,generated_at,source_export_timestamp_utc,feature_schema_version
transferred_flowfeatures,conservative,rule_baseline_v2_hardened_final,threshold=2.8,compatible_existing_transfer_path,1.0,0.0010964912280701754,0.002190580503833516,0.0,1,0,3435,911,Synthetic direct transfer to CTU,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
transferred_flowfeatures,conservative,local_outlier_factor_v1,ctu13_benign_reference;contamination=0.03;threshold=-0;calibration_flows=576,compatible_existing_transfer_path,0.2719186785260483,1.0,0.4275724275724275,0.9943600867678959,856,2292,13,0,Synthetic direct transfer to CTU,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
transferred_flowfeatures,conservative,rf_full_threshold_0p6,synthetic_training;threshold=0.6;features=full,compatible_existing_transfer_path,0.21009960620801482,0.9945175438596491,0.3469114553451903,0.992721979621543,907,3410,25,5,Synthetic direct transfer to CTU,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
transferred_flowfeatures,conservative,rf_full_threshold_0p3,synthetic_training;threshold=0.3;features=full,compatible_existing_transfer_path,0.20989366620434582,0.9956140350877193,0.34669721267659415,0.9950509461426492,908,3418,17,4,Synthetic direct transfer to CTU,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
transferred_flowfeatures,conservative,local_outlier_factor_v1,ctu13_benign_reference;contamination=0.03;threshold=-0;calibration_flows=207,compatible_existing_transfer_path,0.050400916380297825,1.0,0.09596510359869138,1.0,44,829,0,0,Synthetic direct transfer to CTU,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
transferred_flowfeatures,conservative,local_outlier_factor_v1,ctu13_benign_reference;contamination=0.03;threshold=-0;calibration_flows=75,compatible_existing_transfer_path,0.038338658146964855,1.0,0.07384615384615384,1.0,12,301,0,0,Synthetic direct transfer to CTU,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
ctu_native,conservative,rule_baseline_v2_hardened_final,threshold=2.8,not_schema_compatible,,,,,,,,,CTU-native unsupervised evaluation,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
ctu_native,conservative,local_outlier_factor_v1,ctu_native_benign_reference;contamination=0.03;threshold=-5.04494;calibration_rows=1736,compatible_unsupervised_reference,0.39747444377630786,0.6710659898477157,0.4992447129909365,0.5768566493955095,661,1002,735,324,CTU-native unsupervised evaluation,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
ctu_native,conservative,rf_full_threshold_0p6,synthetic_training;threshold=0.6;features=full,not_schema_compatible,,,,,,,,,CTU-native unsupervised evaluation,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
ctu_native,conservative,rf_full_threshold_0p3,synthetic_training;threshold=0.3;features=full,not_schema_compatible,,,,,,,,,CTU-native unsupervised evaluation,ctu13_native_feature_path_comparison,results/tables/ctu13_native/ctu_feature_path_comparison.csv,2026-04-22T20:00:29.141854+00:00,2026-04-22T17:24:09.354898+00:00,
