detector_name,operating_point,feature_set,evaluation_scope,mean_precision,mean_recall,mean_f1,mean_false_positive_rate,combined_tp,combined_fp,combined_tn,combined_fn,source_experiment,source_file,generated_at,source_export_timestamp_utc,feature_schema_version
rule_baseline_v2_hardened_final,threshold=2.8,,standard_hardened_grid,0.9827895981087471,0.826923076923077,0.8977205168364355,0.0029629629629629632,215,4,1346,45,supervised_ml_hardened_grid,results/tables/supervised_ml/baseline_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:19:18.906323+00:00,
statistical_zscore_baseline_v1,benign_score_quantile=0.99,,standard_hardened_grid,0.6565479454609889,0.5884615384615384,0.6172194864500732,0.06296296296296297,153,85,1265,107,supervised_ml_hardened_grid,results/tables/supervised_ml/baseline_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:19:18.906323+00:00,
isolation_forest_v1,contamination=0.03,,standard_hardened_grid,0.34281176545327485,0.28076923076923077,0.3028823497177927,0.10888888888888888,73,147,1203,187,supervised_ml_hardened_grid,results/tables/supervised_ml/baseline_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:19:18.906323+00:00,
local_outlier_factor_v1,contamination=0.03,,standard_hardened_grid,0.7706333585952847,0.6461538461538462,0.6806339712918661,0.050370370370370364,168,68,1282,92,supervised_ml_hardened_grid,results/tables/supervised_ml/baseline_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:19:18.906323+00:00,
logistic_regression_v1,threshold=0.5;features=29,,standard_hardened_grid,0.915454300085879,0.926923076923077,0.9205249898190369,0.017037037037037038,241,23,1327,19,supervised_ml_hardened_grid,results/tables/supervised_ml/baseline_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:19:18.906323+00:00,
random_forest_v1,threshold=0.5;features=29,,standard_hardened_grid,0.9960000000000001,0.9307692307692307,0.9620901826076965,0.0007407407407407408,242,1,1349,18,supervised_ml_hardened_grid,results/tables/supervised_ml/baseline_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:19:18.906323+00:00,
random_forest_v1,threshold=0.3;features=full,full,standard_hardened_grid,0.9610894941634242,0.95,0.9555125725338491,0.007407407407407408,247,10,1340,13,supervised_threshold_sweep,results/tables/supervised_threshold_sweep/supervised_threshold_sweep_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:32.026587+00:00,
random_forest_v1,threshold=0.6;features=full,full,standard_hardened_grid,0.9958677685950413,0.926923076923077,0.9601593625498008,0.0007407407407407407,241,1,1349,19,supervised_threshold_sweep,results/tables/supervised_threshold_sweep/supervised_threshold_sweep_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:32.026587+00:00,
random_forest_v1,threshold=0.4;features=timing_size,timing_size,standard_hardened_grid,0.9299610894941635,0.9192307692307692,0.9245647969052223,0.013333333333333334,239,18,1332,21,supervised_threshold_sweep,results/tables/supervised_threshold_sweep/supervised_threshold_sweep_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:32.026587+00:00,
